"Author, Last","Author, First",Title,Publisher,Date ,Size,Information; Notes ; Condition,Edition/Printrun,ISBN,"Author, Editor",Contributors,Signed/Inscribed,Designer,Summary,W3  Artist,W3 Publisher,Collection Grouping,"Subject classification, tags",Classification,BISAC classification,Dewey Decimal Classification (DDC),Location,Accession No,Price,Image
Arbus,Amy,On the Street: 1980-1990,Welcome Books,2006,10.54 x 0.82 x 13.74 inches,"Hardcover, 104 pages",,978-1599620152,A. M. Homes (Author),,,,"Between 1980 and 1990, over five hundred of photographer Amy Arbus's impromptu and edgy portraits of New Yorkers appeared in the Village Voice's monthly fashion feature, ""On the Street."" The column's missive was to document the city's most adventurous trednsetters as they lived their lives. But Arbus's photographs tell much more than a style story. From the friendliest to the grittiest, every one of these images is a potent tribute to self-expression. Taken as a whole, they reflect an era of contradictions, a time in America when urban individualism and raw creativity were courageously fighting for breathing room and holding their own in a culture ruled by wealthy conservatism and Republican politics. For the first time since that hard-to-define decade, this time-capsule collection of images is being revisited. On the Street features seventy of the most revealing and expressive images taken by Arbus on the city’s fashion-fertile sidewalks. From the unknown to the unmistakably famous, her subjects are all equally unforgettable. Arbus’s ubiquitous lens captured the most influential style-makers, from The Clash on the set of Martin Scorsese's King of Comedy and Madonna on the same day her single “Everybody” hit the charts, to Anna Sui, Joey Arias, Phoebe Legére, and countless other local artists, actors, costume designers, shop owners, musicians, make-up artists, graffiti artists, and downtown scenesters. From eyewear to underwear and schoolgirl skirts to backless shirts; from women dressed like men to men that are barely dressed; from lipstick to just plain “schtik,” there is no aspect of 80’s style that goes unrepresented.",https://www.amyarbus.com/,,,"fashion, portraiture",Fashion Photography,,,"Hudson Street Library, NYC",,$500,
Arbus,Amy,The Fourth Wall,Welcome Books,2008,11.38 x 0.96 x 12.64 inches,"Hardcover, 160 pages",,978-1599620442,,,,,"What happens when a performing actor leaves behind his lines, staging, sets, and lighting, and steps beyond the fourth wall? For three years, Amy Arbus has been exploring this question in a series of dramatic portraits of celebrated actors, both on and off Broadway. Fully costumed but stripped of their context, Arbus's actors remain in character as they step outside the fiction of theater into the reality of the world beyond. Staged in anonymous public spaces--in theater lobbies, on city streets, in parks, and in stage door alleys--Arbus's images achieve an unexpected blend of spectacle and high art; formality and sontaneity; vulnerability and pretense. Collected in The Fourth Wall are some of the modern stage's most gifted actors, including Alan Cumming in Cabaret, John Malkovitch in Lost Land, Liev Schreiber in Talk Radio, Ed Harris in Wrecks, Cherry Jones in Doubt, Christine Ebersol in Grey Gardens, and Ethan Hawke and Martha Plimpton in The Coast of Utopia. Actors are included from such successful and ambitioud productions as Wicked, The Light in the Piazza, Hedwig and the Angry Inch, Chitty Chitty Bang Bang, and The Color Purple, to name but a few. Portraits are accompanied by synopses of the plays as well as quotes from a number of the actors portrayed.In 2006's critically acclaimed book On the Street, Arbus focused her lens on those who dressed to express themselves--now she turns her attention to those who dress to become someone else. The result is a collection of potent photographs that pay remarkable tribute to contemporary theater and the performers who bring fantasy to life.",https://www.amyarbus.com/,,,Photography,Portrait Photography,,,"Hudson Street Library, NYC",,$50,/assets/images/covers/9781599620442.jpg
Arnold,Daniel,Pickpocket,Elara,2021,302mm x 195mm,"textured softcover, 228 pages, 5 individually bound inserts, offset width.4 colour offset litho, 3 spot colours screenprinted mylar clear outer jacket 578 images total",First,,,,,"David Rudnick, Emiel Penninckx, Maharani, Yasmine Putri, and Mozes Mosuse in Terrain","The first monograph of the work of New York-based photographer Daniel Arnold. Pickpocket is comprised of a ""Prestige Edit"" titled The Woods, and five additional ""Alleyways"" – GALA, Cell Out, Fuck Ups, 47th Street, and ElseWhere. With liner notes by Daniel Arnold and an afterword by Josh Safdie.",,,,,,,,,,,
Aroch,Guy,Morena No. 2,,2015,9x12 inches,"Wrapers, 28 pages",,,Guy Aroch with Lais Ribeiro.,Lais Ribeiro,,,"This second issue of Morena was shot in different sessions during 2014 by Guy Aroch. Aroch is one of today's most influential fashion photographers, his photography is recognized by its plastic values and proximity, creating evocative works. Guy's editorial partners include British Vogue, Muse, Harpers Bazaar UK, Centrefold, French, British GQ , L'Officiel, The New York Times, LA Times and WWD.",,,,"nudes, fashion",,,,,,$150.00,
Arocha,Rafael,Medianoche,Self-published,2014,,84 pages,Edition of 500 copies,978-8461704668,,,,,,,,,,,,,,,,
Arthur,Olivia,Jeddah Diary,Fishbar,2012,18x22cm,"Hardcover, 122 pages",Edition of 1000,978-0956995919,,,,,"Olivia Arthur’s debut, Jeddah Diary, was published by Fishbar and documents the lives of young Saudi women in Jeddah.",https://oliviaarthur.com/,http://fishbar.ph,,"jeda, woman",Individual Photographers,,,"Hudson Street Library, NYC",,$450.00,
Artificial Nature,,,,,,,,,,,,,,,,,,,,,,,,
Artur,Liz Johnson,Liz Johnson Artur,"Bierke, Verlag",2016,27.8 x 2 x 22.8 cm,"Harcover, cloth bound, with 114 col. & b/w","First, OOP",978-3981337013,,,,,"First comprehensive overview of the Russian-Ghanaian's work, capturing more than 30 years.",http://www.lizjohnsonartur.co.uk,,,,Individual Photographers,,,,,$300.00,/assets/images/covers/9783981337013.jpg
Ashcom,Morgan,Leviathan,Peperoni Books,2015,30 x 30 cm,"Hardcover, cloth bound, 74 pages","Frist, OOP",978-3941825833,Liz Johnson Artur (Author),,,,"This series emerged from Morgan Ashcom’s experiences at a remote community in south-eastern Ohio, an outsiders’ oasis. Originally, he saw the potential to reconcile two opposing but familiar scenes: the urban skating culture he had once been part of, and the rural surroundings of his youth. But the identity of things seemed slightly altered – it was a warped doppelganger of his childhood home. So he stepped away from his presumed knowledge of where he was. Themes of escape and confrontation with the unknowable began to appear in the pictures. The sequence of images suggests a subjective narrative where disparate cultures and geographies converge.",,https://peperoni-books.de/,,,Individual Photographers,,,"Hudson Street Library, NYC",,$120.00,/assets/images/covers/9783941825833.jpg
Asselin,Mathieu,Monsanto: A Photographic Investigation,Verlag Kettler,2017,27.13 x 2.21 x 30.1 cm,147 pages,"Frist, OOP",978-3862066575,Mathieu Asselin (Author),,,,"Monsanto has had a rapid rise and a more-than-colorful history, marked by cover-ups and scandals: dioxins in PCB coolants, genetically modified products such as the bovine growth hormone Posilac, and the production of the defoliant Agent Orange. The company is still highly controversial, irritating scientists, environmental organizations and human rights associations and acting in a way that makes people doubt the harmlessness of its products. As a manufacturer of food and animal feed, seeds and chemical products, Monsanto is relentlessly developing and marketing new technologies. The monopoly it has arguably secured by dubious means bears no relation to its negligence with regard to potential risks. Particularly in light of the devastating consequences that are still causing suffering to people and the environment in many places, the company ' s self-portrayal as a forward-looking, omnipotent force for good seems cynical. The photographer Mathieu Asselin has tried his hand at the daunting task of exploring the issues surrounding Monsanto. His investigative photographic study manages to capture the complexity of this topic, creating links between past, present and future and illuminating many different aspects from a variety of perspectives. His photos and texts raise awareness of the problems involved. Throughout the book, Asselin seems to be concerned about who is actually responsible and who is affected by the consequences. Recognising that passing the buck is a useless game, his photos show that there are victims on all sides: physical deformities in Vietnam, families plagued by death and disease in the US, illegal waste dumps, depopulated regions, destroyed cornfields and farmers whose livelihood has been ruined. The photos are complemented by a wealth of archival material, extracts from press releases, court files, and image campaigns, as well as different slogans and stills from commercials, which in comparison seem as glib and farcical as Disneyland. These expose Monsanto's absurd attempts to pass itself off as a company interested in satisfying today's demands and preserving the earth for future generations.",,,,food,Photojournalism and Essays,,,"Hudson Street Library, NYC",,$300.00,
Attia,Kader,Transformations,Spector Books,2014,9.2 x 0.7 x 12.2 inches,224 pages,,978-3944669236,,,,Johannes Willi,"The manifold entanglements of African and Western culture are a central motif in the oeuvre of the Algerian-French artist Kader Attia. The influence of traditional African architecture on European modernism forms the background for his voluminous spatial installations, videos and photographs, as much as the reappropriation of North and South American black music within African Jazz and Pop of the 1960s up to the 1980s. His work manifests the productivity of dissonance; where African masks, stuffed animals, scientific instruments, and historical artifacts seemingly have nothing in common, the artist unearths connections between Europe’s handling of its own colonial history, current migration politics, and the urbanistic realities of its metropolises of today. Based on Kader Attia’s solo show Repair: 5 Acts at the KW Institute for Contemporary Art, Berlin, this publication focuses on works from the years 2008–2013 and places them in a broader art historical concept.",http://kaderattia.de/,https://spectorbooks.com/,Art,Monographs,Art,,,Clipper,,,/assets/images/covers/9783944669236.jpg
Attia,Kader,Transformations,Spector Books,2014,9.2 x 0.7 x 12.2 inches,"224 pages, (2nd copy)",,978-3944669236,,,,Johannes Willi,"The manifold entanglements of African and Western culture are a central motif in the oeuvre of the Algerian-French artist Kader Attia. The influence of traditional African architecture on European modernism forms the background for his voluminous spatial installations, videos and photographs, as much as the reappropriation of North and South American black music within African Jazz and Pop of the 1960s up to the 1980s. His work manifests the productivity of dissonance; where African masks, stuffed animals, scientific instruments, and historical artifacts seemingly have nothing in common, the artist unearths connections between Europe’s handling of its own colonial history, current migration politics, and the urbanistic realities of its metropolises of today. Based on Kader Attia’s solo show Repair: 5 Acts at the KW Institute for Contemporary Art, Berlin, this publication focuses on works from the years 2008–2013 and places them in a broader art historical concept.",http://kaderattia.de/,https://spectorbooks.com/,Art,Monographs,Art,,,Clipper,,,/assets/images/covers/9783944669236.jpg
Auerbach,Tauba,Tauba Auerbach ― S v Z,D.A.P./SFMOMA,2020,8.25 x 0.75 x 11.5 inches,"Hardcover, 256 pages, 3.25 pounds",,978-194288455,"Joseph Becker (Author, Introduction)","Reinfurt, David",,,"Part artist's book, part exhibition catalog, this book chronicles Tauba Auerbach’s multimedia syntheses of abstraction, science, graphic design and typography Tauba Auerbach studies the boundaries of perception through an art and design practice grounded in math, science and craft. Published in conjunction with the first major survey of the artist’s work, this volume, designed by Auerbach in collaboration with David Reinfurt, spans 16 years of her career, highlighting her interest in concepts such as duality and its alternatives, interconnectedness, rhythm and four-dimensional geometry.",,,,,Individual Artist Monographs,,,Clipper,,$41.00,
Auster (text),Auster (text),?,,,,,,,,,,,,,,,,,,,,,,
Averdon,Richard,An Autobiography Richard Avedon,Random House; 1st edition,1993,,,,,,,,,,,,,"Biography, Photography",,,,,,,
Averin,Fredrick,this is a raincoat like anybody else’s,,2016,,"1000 pages, perfect bound, 1,000 pp. 6.5 lb./2,9kg. one of 72 numbered copies.",,,,,,,"a collection of projects that explore language, people, narratives, couples, human intention, softness, failure, self-awareness, peculiar situations, the printed (and unprinted) page, and which question the format and purpose of the book in portland, oregon.",http://fredrikaverin.com,,,,,,,,,$60.00,
Ayer,Jeremy,Organs of a Divided Labour,Morel,,,,,,,,,,,,https://morelbooks.com,,,,,,,,,
Azuma,Makoto,Encyclopedia of Flowers: Flower Works by Makoto Azuma photographed by Shunsuke Shiinoki,Lars Muller Publishers,2012,6.5 x 1.38 x 9.84 inches,"Softcover, 512 pages,",,978-3037783139,"by Kyoko Wada (Editor), Kenya Hara (Designer)",Shunsuke Shiinoki,,,"Flowers have been a universal cultural object for millennia. They are an important aesthetic element in everyday life worldwide, and have played a highly symbolic role in art throughout the ages. Over the past few years, Makoto Azuma has created a furor in the art world with his floral installations, in which he creates unusual new shapes from plants and flowers and their component parts. Inspired by the Japanese tradition of ikebana―the art of flower arranging―Azuma creates novel and previously unseen aesthetics by bringing together unusual plants that wouldn’t usually meet in nature―some of them exotic ―in extraordinary arrangements. Shunsuke Shiinoki, who opened the “haute-couture” florists Jardin des Fleurs in Tokyo in 2002 in association with Makoto Azuma, captured these exceptional floral installations in extraordinary photographs.",,,,"flora, flowers, japan",Art Encyclopedias,,,"Hudson Street Library, NYC",,,
Azuma,Makoto,Encyclopedia Of Flowers Part 2 - Makoto Azuma | Shunsuke Shiinoki,Seigensha Art Publishing,2015,9.8 x 1.65 x 6.73 inches,"Softcover, 542 pages",,978-4861524769,,Shunsuke Shiinoki,,,"Flower artist Makoto Azuma and botanical photographer Shunsuke Shiinoki present a second edition of their vibrant anthology, two years after the first. Focusing on the ephemeral nature of flowers while working to conserve in a concrete, tangible form the passage of time they embody, the authors use two techniques. The first highlights the flowers features and sense of presence by picturing them from overhead. The second applies a lateral perspective to capture the life force of plants as they stretch towards the sun. In contrast to the first edition, natural light sources were used as much as possible to illuminate the exceptionally dense and colourful palettes on display.",,https://en.seigensha.com/,,"flora, flowers, japan","flora, flowers, japan",,,"Hudson Street Library, NYC",,,
Azuma,Makoto,Encyclopedia of Flowers III (English and Japanese Edition),Seigensha Art Publishing,2016,9.8 x 1.65 x 6.73 inches,"Softcover, 544 pages",,978-4861525711,Makoto Azuma,Shunsuke Shiinoki,,,"Makoto Azuma and Shunsuke Shiinoki collaborate once again to further their pioneering Encyclopedia of Flowers series, which focuses in part on market-related changes that impact floristry, such as the disappearance and new emergence of species, as well as on changing the common perception of flowers. Following the first volume in 2011 and the second in 2015, this third dazzling instalment features a greater variety of styles, reflected in photographs divided into seven chapter-categories that include Coexistence , Hybrid , Chiaroscuro , and Autogenesis . The myriad arrangements done in Azuma s singular style are expertly captured by Shiinoki s camera.",,https://en.seigensha.com/,,"flora, flowers, japan","flora, flowers, japan",,,"Hudson Street Library, NYC",,,
B,,,,,,,,,,,,,,,,,,,,,,,,
Bacher,Lutz,SNOW,JRP | Ringier,2013,9 x 1.1 x 12 inches,"Softcover, 352 pages,",,978-3037643471,Caoimh'n Mac Leith (Author),"Gregor Muir (Editor), Beatrix Ruf (Editor), Sophie von Olfers (Editor), Lutz Bacher (Artist)",,,"Ever since her career began in the 1970s, this Bay Area artist has drawn upon fragmentary information from popular culture and her own life to produce works that play with the instability of identity and the all-around trickiness of images. In artist's books, installations, sculptures, videos, photographs, paintings, and screen prints, Bacher uses images and objects in a physical, visceral manner. Bacher's mixture of bodies and ideas, pop and personal, while always remaining somehow elusive, feels entirely relevant to problems in art and life now. In this publication, she has compiled her work from 1975 to 2013 into a hefty volume of seemingly digital files from an inventory. It is accompanied by a new essay by Caoimhín Mac Giolla Léith. The book is published with Kunsthalle Zürich, Portikus, Frankfurt am Main, and the Institute of Contemporary Arts, London",,,,,,,,,,,/assets/images/books/Bacher_SNOW_9783037643471.jpg
Bacon,Francis,Late Paintings,Rizzoli,2016,9.5 x 0.9 x 12.3 inches,"Hardcover, New",,978-0847847754,,,,,"Encompassing more than twenty-five paintings that Francis Bacon made in London and Paris during the last two decades of his life, this book serves as a companion to the 2015 exhibition at Gagosian Gallery, New York, and is the first in-depth exploration of the innovations of the artist’s late work. In his late paintings, Francis Bacon refined themes that had long obsessed him. He quoted reflexively from his oeuvre, reworking subjects to strip them to the bare essentials. This stunning new book features over 150 color illustrations of the artist’s work and related materials, including reproductions of ephemera from Bacon’s Hugh Lane studio.",https://www.francis-bacon.com/,https://gagosian.com/,,,Individual Artist Monographs,,,,,$200.00,/assets/images/books/Bacon_Late_Paintings_9780847847754.jpg
Bacon,Francis,Incunabula,Thames & Hudson,2009,9.9 x 1.1 x 12.2 inches,"Hardcover, 256 pages",,978-0500093443,"Daniels, Rebecca (Author); Harrison, Martin (Author)",,,,,https://www.francis-bacon.com/,,,,Individual Artist Monographs,,,,,$40.00,/assets/images/books/Bacon_Incunabula_9780500093443.jpg
Bacon,Francis,Francis Bacon,Skira Rizzoli; First Edition,2009,9.91 x 1.02 x 11.27 inches,"Hardcover, Rare",,978-0847832750,"Gale, Matthew",,,,"Francis Bacon’s style was so personal and distinctive that his influence lay more in the intensity of his commitment to art itself than in any direct stylistic legacy. The British artist developed a way of portraying the human body that was unique in the history of painting—usually in isolation, at moments of extreme tension or even pain, distorted like figures from a fantastical nightmare. He remains a towering example to those dedicated to the depiction of the human figure. In addition to 250 full-color plates, this publication also reveals Bacon’s low-art inspirations, including magazine tear sheets, photographs, and imagery from films.",https://www.francis-bacon.com/,,,,Individual Artist Monographs,,,,,$900.00,/assets/images/books/Bacon_Francis_Bacon_9780847832750.jpg
Baier,Julia,Water Maters,Peperoni Books,2013,9.09 x 0.39 x 11.5 inches,"Paperback, 72 pages","First edition, oop",978-3941825536,Johannes Kimstedt (Author),,,,"Swimming is a delicate balance between flying and sinking This quote by Burkhard Strassmann opens Julia Baier's book ›Water Matters‹. Her pictures show what people do with water, and even more, how water affects people and the animals, too. Not on the whole, but in the immediate encounter. When bathing, diving, splashing and spraying, in rain, snow and ice, in the city and in the countryside. And as the water itself the photographer seems to get to wherever it flows and foams, drips, bubbles and reflects or where the water and its derivatives form into mysterious and beautiful abstractions - in Budapest or Bremen, in Passau or Paris, Chicago or Sovata. Julia Baier's book is a refreshing and fluid trip through the international water world - with surface tension, cliffs, swirls, pull and draft.",https://www.juliabaier.de/,https://peperoni-books.de/,,,Photography,,,"Hudson Street Library, NYC",,,/assets/images/covers/9783941825536.jpg
Bakharev,Nikolay,Novokuznetsk,STANLEY/BARKER,2016,240mm × 270mm,"Hardback, Paper Wrapped, Tipped-on Image, 120 + 8 page booklet","First edition, oop",978-0995555518,,,,,"During the 1980s by the Siberian artist Nikolay Bakharev worked as a mechanic and communal services factory photographer in the USSR. To supplement his income he would solicit work as a black market portrait photographer on the public beaches of Eastern Russia. If the shoot went well, he would invite his subjects to make further images in a more intimate setting, compelling his subjects over several hours into contorted, erotically charged poses, which at the time was highly illegal. After the the fall of the Iron Curtain, Bakharev began to work more openly as an artist, although often being admonished as a pornographer. His photographs from this time reveal more than just the bodies of his subjects, but the longing and dampened dreams of the inhabitants of an industrial town and the desires of an unrelenting artist. ""It would be easy to misinterpret these images as simply the pornographic imaginings of a manipulative and dirty old man, yet there is something else within them — in the subjects’ eyes, in their frankness, in their curiosity and collusion, as well as in their surroundings – that suggests that much more is going on here, and that what is both at stake and in evidence stretches far beyond the realms of explicit sexuality, voyeurism and mere titillation."" — Aaron Schuman",,https://www.stanleybarker.co.uk,,,"fashion photography, Fine Art Photography, Nikolay Bakharev, Portrait Photography",,,"Hudson Street Library, NYC",,,
Baldersari,John,John Baldessari Sings LeWitt,,,,Softcover,,,,,,,,,,,,,,,,,,
Baldersari,John,Pure Beauty,LACMA/Delmonico/Prestel,2009,10.44 x 1.63 x 12.31 inches,"Hardcover, 330 pages",,,"Jessica Morgan (Author), Leslie Jones (Author)",,,,"A major figure in contemporary art, John Baldessari is widely considered one of the most influential artists to emerge since the mid-1960s. From his early text-and-image paintings to his more recent photo collages and installations, Baldessari has continued to make art that addresses the social impact of mass culture, often playfully through strategies of appropriation and deconstruction. Baldessari's lifelong interest in language, written and visual, and the interaction between the two, raises questions about the nature of communication and perception. More than 400 illustrations are presented in full colour in this monograph published in conjunction with a major exhibition organised by the Los Angeles County Museum of Art and Tate Modern in London. Eleven essays by critics, curators, art historians, and an artist and former student of Baldessari's round out this volume. Few contemporary artists have achieved the range and relevance of Baldessari's oeuvre, which is finally given its due in this elegant retrospective book.",,,,,Individual Artist Monographs,,,Clipper,,,
Baldersari,John,Pure Beauty,LACMA/Delmonico/Prestel,2010,310 x 260 mm,"330 pages, Softcover",,978-8092505203,"Jessica Morgan (Author), Leslie Jones (Author)",,,,"A major figure in contemporary art, John Baldessari is widely considered one of the most influential artists to emerge since the mid-1960s. From his early text-and-image paintings to his more recent photo collages and installations, Baldessari has continued to make art that addresses the social impact of mass culture, often playfully through strategies of appropriation and deconstruction. Baldessari's lifelong interest in language, written and visual, and the interaction between the two, raises questions about the nature of communication and perception. More than 400 illustrations are presented in full colour in this monograph published in conjunction with a major exhibition organised by the Los Angeles County Museum of Art and Tate Modern in London. Eleven essays by critics, curators, art historians, and an artist and former student of Baldessari's round out this volume. Few contemporary artists have achieved the range and relevance of Baldessari's oeuvre, which is finally given its due in this elegant retrospective book.",,,,,Individual Artist Monographs,,,TBD?,,,
Baldersari,John,A Print Retrospective,Fine Arts Museum of San Francisco,,,,,,,,,,,,,,,,,,,,,
Baldersari,John,"Visionaire No. 64: Art, Baldessari Red Edition",Visionaire,2014,15 x 3.25 x 20.5 inches,"Hardcover,",,978-1888645989,,,,,"In Henry Joost and Ariel Schulman's short film A Brief History of John Baldessari, the world-renowned conceptual artist suggests that he will be best remembered as ""the guy who put dots over people's faces."" Baldessari recalls: ""I felt like it [the dot] leveled the playing field""--surely an ironic claim to fame in an age of self-obsession and self-celebration. Especially from the early Renaissance, when mirrors became more readily available, through today--an age of constant surveillance in which nearly every pedestrian carries some form of camera--the auto portrait has become an inevitability that, to varying degrees, finds its way into the practice of many working artists. For its 64th issue, Visionaire invites a roster of contemporary actors, entertainers and personalities to contribute a self-portrait. The participants include artists Ai Weiwei and Ed Ruscha; models Gisele Bundchen and Kate Upton; actors Scarlett Johansson and James Franco; singer Miley Cyrus; filmmaker Pedro Almodovar; fashion designers Kate and Laura Mulleavy (Rodarte) and Riccardo Tisci (Givenchy); athlete Lionel Messi, and many more. Their self-portraits are printed in black and white, and then silkscreened with shapes and colors created by Baldessari. The resulting collection of images offers a snapshot of contemporary iconography, bridging technology and craftsmanship, high art and pop culture, digital and analogue, new and old. Visionaire No. 64: Art is available in three different editions, each themed by a color, and featuring a different selection of contributors. All of the editions are presented in a beautifully printed cloth box. The red edition includes contributions by James Franco, Miley Cyrus, Marina Abramovic, Ranveer Singh, Yuna Kim, Karlie Kloss, Pedro Almodóvar, Drew Barrymore, G-Dragon and Ed Ruscha.",,,,,,,,,,$900.00,/assets/images/books/Baldersari_Visionaire_No._64_Art_Baldessari_Red_Edition_9781888645989.jpg
Baldersari,John,John Baldessari Catalogue Raisonné: Volume One: 1956–1974,Yale University Press,2012,10.37 x 2.03 x 12.17 inches,"Hardcover, slipcase. New",First,978-0300174489,"Robert Dean (Author), Patrick Pardo (Editor)",,,,"The first volume of the complete catalogue of works by John Baldessari The pioneering conceptual artist John Baldessari (b. 1931) began his career as a painter in the 1950s, but in the subsequent decades he expanded his practice in a new and groundbreaking direction by juxtaposing texts with found photography or appropriated images. These texts questioned the nature of art and the art-viewing experience, suggesting new meanings for the images they accompanied. This interaction of words and images remained a critical aspect of Baldessari's work, even as he branched into other media, such as site-specific installations, drawings, video, sculpture, prints, and multiples. The first of a projected four-volume set, this lavishly illustrated book features about 500 works and chronicles an important shift in Baldessari's thinking during these formative years. Included are such landmark works as the Cremation Project (1970), where Baldessari incinerated the ""body"" of work he had made between the years 1953 and 1966. The ashes of the cremated works were then baked into cookies, and the rest sealed in a book-shaped urn, which he then presented along with a plaque announcing the ""life"" and ""death"" dates. Baldessari's work and teaching have been greatly influential on a subsequent generation of artists. The book features an essay by Yve-Alain Bois considering Baldessari's ethos as a generator of his artistic practice. Also included are an interview with Christopher Knight and a detailed chronology of the artist's life and work.",,,,"Catalog, Exhibition Catalog","Collections, Catalogs & Exhibitions",,,Clipper,,,/assets/images/books/Baldersari_John_Baldessari_Catalogue_Raisonn_Volume_One_1956_1974_9780300174489.jpg
"Ballen, Asger Carlsen",Roger,No Joke,Mörel Books,2016,"22,5 x 33 cm","Hardcover, 72 pages, 37 black-and-white photographs",Edition of 1000,978-1907071560,,,,,"Asger Carlsen and Roger Ballen exchanged ideas, sketches and works and reworked them manually and digitally, blurring the lines of authorship and process. Both artists are known for their blurring of the line between the real world and the fictional. In NO JOKE they lead each other into what eventually becomes something larger then expected.",https://www.rogerballen.com,https://morelbooks.com,,,,,,Clipper,,,
Baltz,Lewis,The Prototype Works,Steidl,,11.1 x 10.6 x 0.8 inches,"Hardback clothbound, 188 pages",Edition 03/2011 (?),978-3869302508,"Witkovsky, Matthew S. 1967-",,,,"Beginning in 1965, but especially in the years between 1967 and 1971, Lewis Baltz made a body of work concentrated on the dialectic between simple, regular geometric forms found in the postwar industrial landscape, and the culture that generated such forms. Stucco walls, parking lots, the sides of warehouse sheds or disused billboards baked in the steady Californian sunlight. Baltz called his works ""Prototypes,"" by which he meant replicable social conventions as well as model structures of replicable manufacture. Marking Baltz's preliminary forays into a minimal aesthetic, The Prototype Works continued his work to capture the reality of a sprawling Western ecology gone wild.",,https://steidl.de/,,,Individual Photographer Books,,,"Hudson Street Library, NYC",,,/assets/images/books/Baltz_The_Prototype_Works_9783869302508.jpg
Baltz,Lewis,Nevada (Signed program),Castelli Graphics,1978,21.5 x 26.5,"Matte gray wrappers, staple-bound, with title embossed on front, Oblong size: 21,5 by 26,5.",,,,,,David Smoak,,,,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,Lewis Baltz: Rule Without Exception / Only Exceptions,Steidl,2012,,,,9783869301105,,,,,"This progressive book object combines two volumes and covers the sweep and depth of Lewis Baltz's influential oeuvre. Rule Without Exception is a re-issue of Baltz's award-winning mid-career retrospective book which accompanied a travelling exhibition of the same name in 1991. The book surveys Baltz's work from ""The Prototype Works"" of 1967 through to ""Sites of Technology"" of 1991, showing the range of his images of industrialised landscapes and technological sites. Each section of the book is accompanied by installation views as well as texts by distinguished writers, some newly commissioned for this edition. Only Exceptions is a new book chronicling Baltz's work - now usually site-generated commissioned works - from 1992 to the present and is published on the occasion of an exhibition organized by the Kunstmuseum, Bonn. Only Exceptions includes Baltz's work in California, Leipzig's ""Black Triangle"", Reggio Emilia, Groningen, Rome, Venice, and two projects with Jean Nouvel in France and Italy.",https://steidl.de,https://steidl.de/,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,Bernard Lamarche-Vadel,,1993,,,,,,,,,,,,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,At The / In Der Albertina,,2014,,,,,,,,,,,,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,Lewis Baltz,Steidl,2017,,,,,,,,,,https://steidl.de,https://steidl.de/,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,Lewis Baltz,"Walther König, Köln; Bilingual edition",2013,,,,,,,,,,https://steidl.de,https://www.buchhandlung-walther-koenig.de/koenig2/index.php?mode=lang&lang=en,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,"The New Industrial Parks Near Irvine, California",,,,,,,,,,,,,,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,"The Politics of Bacteria, Docile Bodies, Ronde de Nuit",Ram Publications,2017,,,,,,,,,,,,,,,,,"Hudson Street Library, NYC",,,
Baltz,Lewis,Candlestick Point,,,,,,,,,,,,,,,,,,,"Hudson Street Library, NYC",,,
Banksy,,Wall and Piece,Century,2007,8 x 0.6 x 10 inches,"Hardcover, 192 pages",,978-1844137879,,,,,,,,Street Art,"""street art""",Individual Artist Monographs,,,Clipper,,$20.00,/assets/images/books/Banksy_Wall_and_Piece_9781844137879.jpg
Barash,Cole,Talk Story,,,,,,,,,,,,,,,,,,,,,,
Barash,Cole,Talk Story,Self published,2014,,"Softcover, numbered",Edition of 555,NA,,Designed by Tucker Phillips,,,,http://www.colebarash.com/,,,snowboarding,,,,,,,
Barber,Tim,Blues,agnes b,2015,25.5 x 20 cm,"Softcover, 80 pages with col. Illus.",,NA,,,,,"Collection of photographs published in conjunction with the ""blues"" exhibition held at agnès b by American photographer Tim Barber.",http://www.tim-barber.com,,,,,,,,,,
