id,author_last,author_first,author_full_name,title,publisher,publication_year,height_cm,width_cm,depth_cm,binding,page_count,edition_printrun,isbn_asin,editor,contributors,is_signed_inscribed,designer,description,artist_url,publisher_url,collection_grouping,tags,classification,bisac,lcc,location,accession_no,featured,image_url,price,weight_g,language,num_images,notes,custom_page_url
1693,BUTT,,BUTT Magazine,BUTT Magazine #3,BUTT Publications,2002,,,,,,,,,,,,"BUTT Magazine #3 — Early issue of the legendary gay culture and lifestyle magazine featuring photography, interviews, and creative queer content.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-3.jpg,,,,English,,,/books/magazines/butt/butt-3/
1694,BUTT,,BUTT Magazine,BUTT Magazine #4,BUTT Publications,2002,,,,,,,,,,,,"BUTT Magazine #4 — Pioneering gay culture magazine from the early 2000s with bold photography and intimate stories.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-4.jpg,,,,English,,,/books/magazines/butt/butt-4/
1695,BUTT,,BUTT Magazine,BUTT Magazine #5,BUTT Publications,2003,,,,,,,,,,,,"BUTT Magazine #5 — Independent gay culture magazine featuring distinctive photography and honest storytelling.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-5.jpg,,,,English,,,/books/magazines/butt/butt-5/
1696,BUTT,,BUTT Magazine,BUTT Magazine #6,BUTT Publications,2003,,,,,,,,,,,,"BUTT Magazine #6 — Celebrating gay culture through provocative imagery and personal narratives.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-6.jpg,,,,English,,,/books/magazines/butt/butt-6/
1697,BUTT,,BUTT Magazine,BUTT Magazine #7,BUTT Publications,2004,,,,,,,,,,,,"BUTT Magazine #7 — Iconic issue from the mid-2000s featuring groundbreaking queer photography.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-7.jpg,,,,English,,,/books/magazines/butt/butt-7/
1698,BUTT,,BUTT Magazine,BUTT Magazine #8,BUTT Publications,2004,,,,,,,,,,,,"BUTT Magazine #8 — Continued exploration of gay culture with raw, authentic content.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-8.jpg,,,,English,,,/books/magazines/butt/butt-8/
1699,BUTT,,BUTT Magazine,BUTT Magazine #9,BUTT Publications,2005,,,,,,,,,,,,"BUTT Magazine #9 — Featuring bold photography and intimate portraits of queer life.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-9.jpg,,,,English,,,/books/magazines/butt/butt-9/
1700,BUTT,,BUTT Magazine,BUTT Magazine #10,BUTT Publications,2005,,,,,,,,,,,,"BUTT Magazine #10 — Milestone 10th issue celebrating queer culture and creativity.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-10.jpg,,,,English,,,/books/magazines/butt/butt-10/
1701,BUTT,,BUTT Magazine,BUTT Magazine #11,BUTT Publications,2006,,,,,,,,,,,,"BUTT Magazine #11 — Continuing the tradition of honest, sex-positive gay content.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-11.jpg,,,,English,,,/books/magazines/butt/butt-11/
1702,BUTT,,BUTT Magazine,BUTT Magazine #12,BUTT Publications,2006,,,,,,,,,,,,"BUTT Magazine #12 — Features provocative photography and candid interviews.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-12.jpg,,,,English,,,/books/magazines/butt/butt-12/
1703,BUTT,,BUTT Magazine,BUTT Magazine #13,BUTT Publications,2007,,,,,,,,,,,,"BUTT Magazine #13 — Documenting queer life through photography and personal stories.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-13.jpg,,,,English,,,/books/magazines/butt/butt-13/
1704,BUTT,,BUTT Magazine,BUTT Magazine #14,BUTT Publications,2007,,,,,,,,,,,,"BUTT Magazine #14 — Bold issue featuring international queer perspectives.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-14.jpg,,,,English,,,/books/magazines/butt/butt-14/
1705,BUTT,,BUTT Magazine,BUTT Magazine #15,BUTT Publications,2008,,,,,,,,,,,,"BUTT Magazine #15 — Creative exploration of gay identity and culture.",https://buttmagazine.com,https://buttmagazine.com,Magazines,"Magazines, LGBTQ+, Queer Culture, Photography, Fashion",Magazines; LGBTQ+; Contemporary Culture,,,"Hudson Street Library, NYC",,false,/assets/images/magazines/butt/butt-15.jpg,,,,English,,,/books/magazines/butt/butt-15/
